,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,New Norfolk,75,AU,1556484035,57,-42.78,147.06,51.8,6.93
1,Rikitea,100,PF,1556484159,77,-23.12,-134.97,73.92,27.42
2,Dongsheng,100,CN,1556484162,88,29.72,112.52,53.94,8.1
3,Basco,90,US,1556484098,52,40.33,-91.2,55.4,13.87
4,Egvekinot,100,RU,1556484166,96,66.32,-179.17,27.12,5.14
5,Mahebourg,75,MU,1556483943,94,-20.41,57.7,73.99,5.82
6,Port Lincoln,0,AU,1556484171,76,-34.72,135.86,60.96,11.03
7,Atuona,39,PF,1556484173,74,-9.8,-139.03,83.82,18.16
8,Balgazyn,16,RU,1556484175,50,51.0,95.2,32.88,4.79
9,Sabang,94,PH,1556484177,76,13.72,123.58,81.12,9.44
10,Katherine,100,AU,1556481600,83,-14.47,132.26,75.2,5.82
11,Nanortalik,5,GL,1556484182,73,60.14,-45.24,38.46,4.25
12,Souillac,90,FR,1556484037,71,45.6,-0.6,53.6,5.82
13,Nikolskoye,0,RU,1556484037,44,59.7,30.79,39.2,4.47
14,Ahipara,93,NZ,1556484034,100,-35.17,173.16,57.0,27.22
15,Ushuaia,75,AR,1556481600,70,-54.81,-68.31,46.4,3.06
16,Hobart,75,AU,1556484035,57,-42.88,147.33,51.8,6.93
17,Lipari,20,IT,1556484097,77,38.47,14.95,61.0,2.24
18,Ciudad Bolivar,79,VE,1556483999,23,8.12,-63.55,100.2,10.63
19,Khatanga,98,RU,1556484199,93,71.98,102.47,4.26,13.09
20,Vaini,100,IN,1556484201,82,15.34,74.49,81.84,2.1
21,Fairbanks,1,US,1556484005,29,64.84,-147.72,53.01,1.05
22,Cabo San Lucas,75,MX,1556484027,33,22.89,-109.91,91.0,7.67
23,Kingman,1,US,1556483536,12,35.19,-114.05,98.01,17.22
24,Mayumba,100,GA,1556484210,83,-3.44,10.65,81.66,4.72
25,Airai,82,TL,1556484212,72,-8.93,125.41,76.62,9.6
26,Hermanus,0,ZA,1556483511,98,-34.42,19.24,54.0,1.99
27,Punta Arenas,90,CL,1556484186,93,-53.16,-70.91,42.8,5.82
28,Iqaluit,90,CA,1556484161,84,63.75,-68.52,32.0,23.04
29,Mataura,100,NZ,1556483411,93,-46.19,168.86,48.0,11.01
30,Saskylakh,24,RU,1556484223,95,71.97,114.09,-8.7,6.13
31,Katsuura,75,JP,1556483319,58,33.93,134.5,57.0,1.12
32,Mitu,0,IR,1556484227,61,36.2,46.09,44.4,6.31
33,Ostrovnoy,96,RU,1556484229,79,68.05,39.51,27.84,4.47
34,Mount Isa,85,AU,1556481600,53,-20.73,139.49,73.4,8.05
35,Lagoa,0,PT,1556484118,68,37.14,-8.45,66.99,6.93
36,Tiksi,69,RU,1556484236,95,71.64,128.87,9.3,6.44
37,Pombas,90,BR,1556484238,61,-15.9,-54.74,83.1,0.47
38,Luderitz,10,NA,1556481600,87,-26.65,15.16,57.2,4.7
39,Hasaki,75,JP,1556483936,81,35.73,140.83,48.2,3.36
40,Ilulissat,0,GL,1556481000,86,69.22,-51.1,30.2,3.36
41,Chuy,73,UY,1556484247,70,-33.69,-53.46,67.62,8.48
42,Tieli,38,CN,1556484249,59,46.98,128.05,48.36,6.55
